الصنف,الكمية,سعر الوحدة
لابتوب ديل انسبايرون,٩,١٢٥٠٠٫٥٠ ر.س
لابتوب ديل انسبايرون,٥,٣٨٠٠٠٫٥٠ ر.س
كرسي مكتب دوّار,٢٧,١٢٥٠٠٫٥٠ ر.س
لابتوب ديل انسبايرون,٩,٩٠٠٠٫٥٠ ر.س
شاشة سامسونج 27,١٩,٩٠٠٠٫٥٠ ر.س
طابعة انش بي ليزر,٢,١٢٥٠٠٫٥٠ ر.س
شاشة سامسونج 27,١,٣٨٠٠٠٫٥٠ ر.س
طابعة انش بي ليزر,٣٠,٣٨٠٠٠٫٥٠ ر.س
شاشة سامسونج 27,١٨,٩٠٠٠٫٥٠ ر.س
طابعة انش بي ليزر,٥,٣٨٠٠٠٫٥٠ ر.س
شاشة سامسونج 27,١٢,٣٨٠٠٠٫٥٠ ر.س
لابتوب ديل انسبايرون,١٧,٩٠٠٠٫٥٠ ر.س
شاشة سامسونج 27,٢٨,١٢٥٠٠٫٥٠ ر.س
لابتوب ديل انسبايرون,١٠,٣٨٠٠٠٫٥٠ ر.س
شاشة سامسونج 27,٨,٩٠٠٠٫٥٠ ر.س
كرسي مكتب دوّار,٢٩,١٢٥٠٠٫٥٠ ر.س
شاشة سامسونج 27,٢٨,٣٨٠٠٠٫٥٠ ر.س
طابعة انش بي ليزر,٢١,٣٨٠٠٠٫٥٠ ر.س
لابتوب ديل انسبايرون,٢٨,١٢٥٠٠٫٥٠ ر.س
كرسي مكتب دوّار,٤,٩٠٠٠٫٥٠ ر.س
شاشة سامسونج 27,٢٧,٣٨٠٠٠٫٥٠ ر.س
كرسي مكتب دوّار,١٠,١٢٥٠٠٫٥٠ ر.س
لابتوب ديل انسبايرون,١٥,٣٨٠٠٠٫٥٠ ر.س
هارد ديسك خارجي 1 تيرا,٤,٣٨٠٠٠٫٥٠ ر.س
لابتوب ديل انسبايرون,٢٣,٣٨٠٠٠٫٥٠ ر.س
كرسي مكتب دوّار,١٣,١٢٥٠٠٫٥٠ ر.س
شاشة سامسونج 27,١٦,١٢٥٠٠٫٥٠ ر.س
لابتوب ديل انسبايرون,١٤,٣٨٠٠٠٫٥٠ ر.س
لابتوب ديل انسبايرون,٤,١٢٥٠٠٫٥٠ ر.س
كرسي مكتب دوّار,٩,٣٨٠٠٠٫٥٠ ر.س
طابعة انش بي ليزر,١٦,١٢٥٠٠٫٥٠ ر.س
لابتوب ديل انسبايرون,١٨,١٢٥٠٠٫٥٠ ر.س
كرسي مكتب دوّار,١٧,١٢٥٠٠٫٥٠ ر.س
هارد ديسك خارجي 1 تيرا,٢٤,١٢٥٠٠٫٥٠ ر.س
لابتوب ديل انسبايرون,٢٠,٣٨٠٠٠٫٥٠ ر.س
هارد ديسك خارجي 1 تيرا,٢,٣٨٠٠٠٫٥٠ ر.س
هارد ديسك خارجي 1 تيرا,٢,١٢٥٠٠٫٥٠ ر.س
طابعة انش بي ليزر,٦,٩٠٠٠٫٥٠ ر.س
لابتوب ديل انسبايرون,٧,١٢٥٠٠٫٥٠ ر.س
كرسي مكتب دوّار,١٦,٣٨٠٠٠٫٥٠ ر.س
