—ﬁ„ «·›« Ê—…,«· «—ÌŒ,«”„ «·’‰›,«·„‰ÿﬁ…,«·„‰œÊ»,«·ﬂ„Ì…,”⁄— «·ÊÕœ…,«·≈Ã„«·Ì
INV-1000,2026-02-16,ÿ«»⁄… «‰‘ »Ì ·Ì“—,œ„‘ﬁ,”«„— ŒÊ—Ì,18,22000,110000
INV-1001,2026-03-11,ﬂ—”Ì „ﬂ » œÊ¯«—,œ„‘ﬁ,·Ì·Ï «·‰Ã«—,12,9000,266000
INV-1002,2026-03-19,·«» Ê» œÌ· «‰”»«Ì—Ê‰,«··«–ﬁÌ…,·Ì·Ï «·‰Ã«—,9,12500,15000
INV-1003,2026-01-20,ÿ«»⁄… «‰‘ »Ì ·Ì“—,œ„‘ﬁ,√Õ„œ «·Õ·»Ì,18,15000,570000
INV-1004,2026-08-28,Â«—œ œÌ”ﬂ Œ«—ÃÌ 1  Ì—«,Õ„’,√Õ„œ «·Õ·»Ì,15,12500,285000
INV-1005,2026-07-24,·«» Ê» œÌ· «‰”»«Ì—Ê‰,Õ·»,”«„— ŒÊ—Ì,9,9000,608000
INV-1006,2026-03-25,Â«—œ œÌ”ﬂ Œ«—ÃÌ 1  Ì—«,Õ·»,√Õ„œ «·Õ·»Ì,5,12500,684000
INV-1007,2026-03-10,Â«—œ œÌ”ﬂ Œ«—ÃÌ 1  Ì—«,Õ·»,√Õ„œ «·Õ·»Ì,20,15000,75000
INV-1008,2026-04-13,‘«‘… ”«„”Ê‰Ã 27,Õ·»,·Ì·Ï «·‰Ã«—,4,15000,112500
INV-1009,2026-04-24,·«» Ê» œÌ· «‰”»«Ì—Ê‰,œ„‘ﬁ,”«„— ŒÊ—Ì,15,22000,18000
INV-1010,2026-05-27,Â«—œ œÌ”ﬂ Œ«—ÃÌ 1  Ì—«,Õ„’,·Ì·Ï «·‰Ã«—,16,12500,110000
INV-1011,2026-01-10,‘«‘… ”«„”Ê‰Ã 27,Õ·»,√Õ„œ «·Õ·»Ì,13,12500,87500
INV-1012,2026-07-19,Â«—œ œÌ”ﬂ Œ«—ÃÌ 1  Ì—«,Õ·»,”«„— ŒÊ—Ì,11,15000,212500
INV-1013,2026-06-21,·«» Ê» œÌ· «‰”»«Ì—Ê‰,«··«–ﬁÌ…,·Ì·Ï «·‰Ã«—,12,38000,162000
INV-1014,2026-02-21,·«» Ê» œÌ· «‰”»«Ì—Ê‰,Õ·»,√Õ„œ «·Õ·»Ì,17,15000,175000
INV-1015,2026-05-28,·«» Ê» œÌ· «‰”»«Ì—Ê‰,Õ·»,√Õ„œ «·Õ·»Ì,6,9000,99000
INV-1016,2026-06-10,‘«‘… ”«„”Ê‰Ã 27,Õ„’,”«„— ŒÊ—Ì,12,22000,264000
INV-1017,2026-07-22,·«» Ê» œÌ· «‰”»«Ì—Ê‰,Õ·»,·Ì·Ï «·‰Ã«—,4,38000,45000
INV-1018,2026-06-18,Â«—œ œÌ”ﬂ Œ«—ÃÌ 1  Ì—«,Õ„’,”«„— ŒÊ—Ì,3,9000,608000
INV-1019,2026-05-14,ﬂ—”Ì „ﬂ » œÊ¯«—,Õ„’,·Ì·Ï «·‰Ã«—,16,9000,494000
INV-1020,2026-06-27,Â«—œ œÌ”ﬂ Œ«—ÃÌ 1  Ì—«,œ„‘ﬁ,”«„— ŒÊ—Ì,17,12500,135000
INV-1021,2026-05-11,Â«—œ œÌ”ﬂ Œ«—ÃÌ 1  Ì—«,Õ„’,√Õ„œ «·Õ·»Ì,1,38000,62500
INV-1022,2026-01-22,‘«‘… ”«„”Ê‰Ã 27,Õ·»,·Ì·Ï «·‰Ã«—,19,38000,12500
INV-1023,2026-04-22,ﬂ—”Ì „ﬂ » œÊ¯«—,Õ„’,√Õ„œ «·Õ·»Ì,8,15000,165000
INV-1024,2026-04-16,ÿ«»⁄… «‰‘ »Ì ·Ì“—,Õ·»,·Ì·Ï «·‰Ã«—,7,15000,63000
INV-1025,2026-06-28,·«» Ê» œÌ· «‰”»«Ì—Ê‰,Õ·»,·Ì·Ï «·‰Ã«—,15,22000,330000
INV-1026,2026-04-11,·«» Ê» œÌ· «‰”»«Ì—Ê‰,Õ·»,·Ì·Ï «·‰Ã«—,20,9000,132000
INV-1027,2026-02-14,ﬂ—”Ì „ﬂ » œÊ¯«—,Õ·»,·Ì·Ï «·‰Ã«—,7,12500,240000
INV-1028,2026-01-13,Â«—œ œÌ”ﬂ Œ«—ÃÌ 1  Ì—«,«··«–ﬁÌ…,√Õ„œ «·Õ·»Ì,3,22000,195000
INV-1029,2026-04-18,·«» Ê» œÌ· «‰”»«Ì—Ê‰,Õ·»,√Õ„œ «·Õ·»Ì,1,22000,12500
INV-1030,2026-03-18,ﬂ—”Ì „ﬂ » œÊ¯«—,«··«–ﬁÌ…,·Ì·Ï «·‰Ã«—,6,38000,30000
